NEFH,Varicocele,Validated
L1TD1,Defective human spermatozoa,Validated
ACP3,Spermatogenic defects,Validated
INHBA,Varicocele,Validated
ACP3,Oligo-asthenozoospermia,Validated
SNORC,Male factor infertility,Highthroughput studies
NCBP2-AS1,Male factor infertility,Highthroughput studies
AC008440.5,Male factor infertility,Highthroughput studies
H7BYZ3,Male factor infertility,Highthroughput studies
AC011511.2-201,Male factor infertility,Highthroughput studies
AC079305.10,Male factor infertility,Highthroughput studies
RP5-827C21.2,Male factor infertility,Highthroughput studies
AC005523.2,Male factor infertility,Highthroughput studies
RP11-580I16.2,Male factor infertility,Highthroughput studies
RP11-301O19.1,Male factor infertility,Highthroughput studies
RP3-430N8.11,Male factor infertility,Highthroughput studies
AC078883.3,Male factor infertility,Highthroughput studies
GS1-5L10.1,Male factor infertility,Highthroughput studies
NAT2,Idiopathic male infertility,Validated
NAT2,Idiopathic male infertility,Validated
NAT2,Teratozoospermia,Highthroughput studies
ADA,Teratozoospermia,Highthroughput studies
ADA,Cryptorchidism,Highthroughput studies
CDH2,Altered meiotic progression, subfertility,Validated
CDH2,Teratozoospermia,Highthroughput studies
CDH2,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
AKT3,Teratozoospermia,Highthroughput studies
AKT3,Spermatogenic defects,Highthroughput studies
GAGE12F,Cryptorchidism,Highthroughput studies
GAGE12F,Cryptorchidism,Highthroughput studies
MED6,Teratozoospermia,Highthroughput studies
MED6,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
NR2E3,Teratozoospermia,Highthroughput studies
NR2E3,Cryptorchidism,Highthroughput studies
NAALAD2,Teratozoospermia,Highthroughput studies
NAALAD2,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
NAALAD2,Cryptorchidism,Highthroughput studies
SNORD116-2,Cryptorchidism,Highthroughput studies
SNORD116-6,Cryptorchidism,Highthroughput studies
SNORD116-7,Cryptorchidism,Highthroughput studies
SNORD116-8,Cryptorchidism,Highthroughput studies
SNORD116-28,Cryptorchidism,Highthroughput studies
LOC100034248,Non obstructive azoospermia, Sertoli cell only syndrome,Highthroughput studies
TLX1NB,Unexplained infertility,Highthroughput studies
H2afb1,Male subfertility,Validated
NAALADL1,Teratozoospermia,Highthroughput studies
NAALADL1,Cryptorchidism,Highthroughput studies
CDKN2B-AS1,Teratozoospermia,Highthroughput studies
ABI1,Teratozoospermia,Highthroughput studies
ABI1,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
ABI1,Spermatogenic defects,Highthroughput studies
ABI1,Unexplained infertility,Highthroughput studies
GNPDA1,Teratozoospermia,Highthroughput studies
GNPDA1,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
GNPDA1,Cryptorchidism,Highthroughput studies
KCNE3,Hypospermatogenesis,Highthroughput studies
ZBTB33,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
SNHG8,Teratozoospermia,Highthroughput studies
GTF2IP4,Teratozoospermia,Highthroughput studies
CDH3,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
TANK,Teratozoospermia,Highthroughput studies
TANK,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
FLJ44451,Spermatogenic defects,Highthroughput studies
LOC100101148,Non obstructive azoospermia, Sertoli cell only syndrome,Highthroughput studies
POM121C,Teratozoospermia,Highthroughput studies
POM121C,Cryptorchidism,Highthroughput studies
POM121C,Unexplained infertility,Highthroughput studies
GAGE8,Cryptorchidism,Highthroughput studies
GAGE8,Cryptorchidism,Highthroughput studies
SRA1,Teratozoospermia,Highthroughput studies
SNORD19B,Teratozoospermia,Highthroughput studies
SNORD105B,Cryptorchidism,Highthroughput studies
TEC,Cryptorchidism,Highthroughput studies
HOTAIR,Asthenozoospermia, Oligoasthenozoospermia, Male infertility,Validated
HOTAIR,Unexplained infertility,Highthroughput studies
FAM86JP,Cryptorchidism,Highthroughput studies
MIR298,Cryptorchidism,Highthroughput studies
MIR220B,Cryptorchidism,Highthroughput studies
MIR450B,Unexplained infertility,Highthroughput studies
MIR890,Unexplained infertility,Highthroughput studies
MIR891B,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR891B,Unexplained infertility,Highthroughput studies
MIR888,Unexplained asthenozoospermia,Highthroughput studies
MIR892B,Unexplained infertility,Highthroughput studies
MIR541,Cryptorchidism,Highthroughput studies
MIR147B,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR147B,Asthenozoospemia,Highthroughput studies
MIR665,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR873,Oligoasthenozoospermia,Highthroughput studies
miR-374b,Azoospermia, asthenozoospermia,Validated
MIR374B,Oligoasthenozoospermia,Highthroughput studies
MIR374B,Asthenozoospemia,Highthroughput studies
MIR374B,Oligoasthenozoospermia,Highthroughput studies
MIR216B,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR935,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR943,Teratozoospermia,Highthroughput studies
MIR708,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR543,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR208B,Cryptorchidism,Highthroughput studies
MIR509-3,Non obstructive azoospermia,Highthroughput studies
MIR509-3,Non obstructive azoospermia, Sertoli cell only syndrome,Highthroughput studies
MIR937,Cryptorchidism,Highthroughput studies
MIR891A,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR891A,Oligoasthenozoospermia,Highthroughput studies
MIR891A,Unexplained infertility,Highthroughput studies
MIR892A,Unexplained infertility,Highthroughput studies
MIR889,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR933,Asthenoozoospermia,Highthroughput studies
MIR933,Spermatogenic failure,Highthroughput studies
MIR939,Cryptorchidism,Highthroughput studies
MIR297,Spermatogenic failure,Highthroughput studies
MIR365A,Cryptorchidism, Obstructive azoospermia, Male infertility,Highthroughput studies
MIR365A,Asthenozoospemia,Highthroughput studies
SNAR-G1,Cryptorchidism,Highthroughput studies
C8orf88,Teratozoospermia,Highthroughput studies
WWTR1-AS1,Teratozoospermia,Highthroughput studies
WWTR1-AS1,Male factor infertility,Highthroughput studies
SMARCA5-AS1,Male factor infertility,Highthroughput studies
STAU2-AS1,Teratozoospermia,Highthroughput studies
LOC100128175,Teratozoospermia,Highthroughput studies
LOC100128176,Unexplained infertility,Highthroughput studies
ENSG00000257167,Male factor infertility,Highthroughput studies
GAFA3,Teratozoospermia,Highthroughput studies
LOC100128239,Cryptorchidism,Highthroughput studies
LOC100128239,Cryptorchidism,Highthroughput studies
LOC100128239,Cryptorchidism,Highthroughput studies
ZNF667-AS1,Teratozoospermia,Highthroughput studies
HTR5A-AS1,Unexplained infertility,Highthroughput studies
DNM1P35,Cryptorchidism,Highthroughput studies
LOC100128288,Cryptorchidism,Highthroughput studies
TRAPPC3L,Teratozoospermia,Highthroughput studies
TRAPPC3L,Unexplained infertility,Highthroughput studies
FAM83H-AS1,Unexplained infertility,Highthroughput studies
C20orf78,Teratozoospermia,Highthroughput studies
CTAGE4,Teratozoospermia,Highthroughput studies
C19orf71,Cryptorchidism,Highthroughput studies
C19orf71,Cryptorchidism,Highthroughput studies
C19orf71,Cryptorchidism,Highthroughput studies
ACVR2B-AS1,Teratozoospermia,Highthroughput studies
ACVR2B-AS1,Unexplained infertility,Highthroughput studies
HPN-AS1,Cryptorchidism,Highthroughput studies
OST4,Teratozoospermia,Highthroughput studies
RBPMS-AS1,Unexplained infertility,Highthroughput studies
LINC00476,Cryptorchidism,Highthroughput studies
SRRM2-AS1,Cryptorchidism,Highthroughput studies
LINC01165,Teratozoospermia,Highthroughput studies
LOC100128922,Teratozoospermia,Highthroughput studies
RPL10AP6,Male factor infertility,Highthroughput studies
MAPT-AS1,Cryptorchidism,Highthroughput studies
LOC100129034,Cryptorchidism,Highthroughput studies
LOC100129055,Cryptorchidism,Highthroughput studies
SMIM10L1,Teratozoospermia,Highthroughput studies
LOC100129380,Teratozoospermia,Highthroughput studies
GABPB1-AS1,Teratozoospermia,Highthroughput studies
DPY19L1P1,Teratozoospermia,Highthroughput studies
ZNF37BP,Teratozoospermia,Highthroughput studies
LOC100129518,Teratozoospermia,Highthroughput studies
LOC100129534,Cryptorchidism,Highthroughput studies
LOC100129534,Cryptorchidism,Highthroughput studies
LOC100129534,Cryptorchidism,Highthroughput studies
LOC100129637,Cryptorchidism,Highthroughput studies
LOC100129637,Cryptorchidism,Highthroughput studies
ARRDC3-AS1,Male factor infertility,Highthroughput studies
ARRDC3-AS1,Unexplained infertility,Highthroughput studies
MRVI1-AS1,Teratozoospermia,Highthroughput studies
ZNF737,Non obstructive azoospermia,Highthroughput studies
SCOC-AS1,Teratozoospermia,Highthroughput studies
LOC100129884,Teratozoospermia,Highthroughput studies
FAM205C,Teratozoospermia,Highthroughput studies
HDAC6,Aberrant CpGs in Low Motility Sperm,Highthroughput studies
URAHP,Cryptorchidism,Highthroughput studies
URAHP,Cryptorchidism,Highthroughput studies
LOC100130093,Cryptorchidism,Highthroughput studies
LOC100130093,Cryptorchidism,Highthroughput studies
LOC100130093,Cryptorchidism,Highthroughput studies
LOC100130111,Teratozoospermia,Highthroughput studies
LINC00966,Unexplained infertility,Highthroughput studies
LOC100130175,Teratozoospermia,Highthroughput studies
LOC100130238,Cryptorchidism,Highthroughput studies
LOC100130238,Cryptorchidism,Highthroughput studies
LOC100130238,Cryptorchidism,Highthroughput studies
C17orf107,Cryptorchidism,Highthroughput studies
LOC100130331,Cryptorchidism,Highthroughput studies
LINC00552,Cryptorchidism,Highthroughput studies
PP14571,Cryptorchidism,Highthroughput studies
LOC100130452,Teratozoospermia,Highthroughput studies
LOC100130458,Teratozoospermia,Highthroughput studies
PARD6G-AS1,Cryptorchidism,Highthroughput studies
LINC00910,Cryptorchidism,Highthroughput studies
LINC00910,Unexplained infertility,Highthroughput studies
LOC100130691,Teratozoospermia,Highthroughput studies
USP3-AS1,Teratozoospermia,Highthroughput studies
LOC100130872,Cryptorchidism,Highthroughput studies
LOC100130872,Cryptorchidism,Highthroughput studies
SYCE1L,Non obstructive azoospermia,Highthroughput studies
SYCE1L,Teratozoospermia,Highthroughput studies
C6orf99,Teratozoospermia,Highthroughput studies
LOC100130987,Cryptorchidism,Highthroughput studies
C7orf72,Non obstructive azoospermia,Highthroughput studies
ZNF316,Teratozoospermia,Highthroughput studies
SRP14-AS1,Unexplained infertility,Highthroughput studies
ZBTB20-AS1,Teratozoospermia,Highthroughput studies
BSPH1,Sperm function, fertility,Validated
BSPH1,Important for male infertility,Validated
BSPH1,Plays a role in sperm function,Validated
TSTD1,Teratozoospermia,Highthroughput studies
RPL21P28,Teratozoospermia,Highthroughput studies
ZNF503-AS2,Hypospadias,Highthroughput studies
LOC100131541,Cryptorchidism,Highthroughput studies
LOC100131564,Unexplained infertility,Highthroughput studies
MZF1-AS1,Cryptorchidism,Highthroughput studies
ARMCX4,Teratozoospermia,Highthroughput studies
ARMCX4,Teratozoospermia,Highthroughput studies
PET100,Teratozoospermia,Highthroughput studies
UBE2DNL,Teratozoospermia,Highthroughput studies
ZNF705G,Teratozoospermia,Highthroughput studies
RRN3P3,Cryptorchidism,Highthroughput studies
LOC100132147,Non obstructive azoospermia, Sertoli cell only syndrome,Highthroughput studies
LOC100132167,Teratozoospermia,Highthroughput studies
WASIR2,Teratozoospermia,Highthroughput studies
LOC100132215,Cryptorchidism,Highthroughput studies
NPIPB5,Cryptorchidism,Highthroughput studies
TEKT4P2,Teratozoospermia,Highthroughput studies
TEKT4P2,Cryptorchidism,Highthroughput studies
FRG1HP,Teratozoospermia,Highthroughput studies
LOC100132356,Teratozoospermia,Highthroughput studies
GAGE12D,Cryptorchidism,Highthroughput studies
NBPF10,Teratozoospermia,Highthroughput studies
NBPF10,Unexplained infertility,Highthroughput studies
KRTAP4-7,Cryptorchidism,Highthroughput studies
CYP4F30P,Spermatogenic defects,Highthroughput studies
DCAF13P3,Hypospermatogenesis,Highthroughput studies
LOC100132731,Teratozoospermia,Highthroughput studies
LOC100132831,Cryptorchidism,Highthroughput studies
PMS2P9,Cryptorchidism,Highthroughput studies
FAM66D,Cryptorchidism,Highthroughput studies
GOLGA8DP,Teratozoospermia,Highthroughput studies
FAM95B1,Spermatogenic defects,Highthroughput studies
LOC100133050,Cryptorchidism,Highthroughput studies
CXorf51B,Teratozoospermia,Highthroughput studies
LOC100133091,Cryptorchidism,Highthroughput studies
LOC100133131,Teratozoospermia,Highthroughput studies
LINC01001,Hypospermatogenesis,Highthroughput studies
SBF1P1,Cryptorchidism,Highthroughput studies
RSU1P2,Teratozoospermia,Highthroughput studies
HOXA-AS3,Unexplained infertility,Highthroughput studies
LOC100133315,Cryptorchidism,Highthroughput studies
MRPL23-AS1,Cryptorchidism,Highthroughput studies
LINC01134,Cryptorchidism,Highthroughput studies
LOC100133669,Teratozoospermia,Highthroughput studies
LOC100133669,Cryptorchidism,Highthroughput studies
CD24,Maturation arrest defects,Validated
CD24,Teratozoospermia,Highthroughput studies
CD24,Spermatogenic defects,Highthroughput studies
LOC100133957,Unexplained infertility,Highthroughput studies
MAP3K14-AS1,Cryptorchidism,Highthroughput studies
LOC100134368,Cryptorchidism,Highthroughput studies
LOC100134445,Cryptorchidism,Highthroughput studies
NDUFB2-AS1,Male factor infertility,Highthroughput studies
NDUFB2-AS1,Cryptorchidism,Highthroughput studies
LOC100134868,Cryptorchidism,Highthroughput studies
HDAC5,Cryptorchidism,Highthroughput studies
C17orf99,Teratozoospermia,Highthroughput studies
C17orf99,Cryptorchidism,Highthroughput studies
CTAGE8,Teratozoospermia,Highthroughput studies
